(86.6025, -50)
(80.829, -46.6667)
(75.0555, -43.3333)
(69.282, -40)
(63.5085, -36.6667)
(57.735, -33.3333)
(51.9615, -30)
(46.188, -26.6667)
(40.4145, -23.3333)
(34.641, -20)
(28.8675, -16.6667)
(23.094, -13.3333)
(17.3205, -10)
(11.547, -6.66668)
(5.77349, -3.33334)
(-8.58307e-06, -8.10623e-06)
(-5.77351, 3.33333)
(-11.547, 6.66666)
(-17.3205, 9.99999)
(-23.094, 13.3333)
(-28.8675, 16.6667)
(-34.641, 20)
(-40.4145, 23.3333)
(-46.188, 26.6667)
(-51.9615, 30)
(-57.735, 33.3333)
(-63.5085, 36.6667)
(-69.282, 40)
(-75.0555, 43.3333)
(-80.8291, 46.6667)
(-86.6026, 50)
